validation loss: 10.9499
step  167 | loss: 6.203546| lr 5.9990e-04  |norm: 0.4646 | dt: 5969.38ms| tok/sec 87829.58
step  168 | loss: 6.173475| lr 5.9990e-04  |norm: 0.4787 | dt: 5967.84ms| tok/sec 87852.18
step  169 | loss: 6.185910| lr 5.9990e-04  |norm: 0.4014 | dt: 5962.60ms| tok/sec 87929.42
step  170 | loss: 6.165529| lr 5.9990e-04  |norm: 0.4038 | dt: 5978.12ms| tok/sec 87701.17
step  171 | loss: 6.198148| lr 5.9990e-04  |norm: 0.4767 | dt: 6039.68ms| tok/sec 86807.19
step  172 | loss: 6.178214| lr 5.9990e-04  |norm: 0.5607 | dt: 6106.80ms| tok/sec 85853.21
step  173 | loss: 6.142162| lr 5.9990e-04  |norm: 0.5695 | dt: 6296.08ms| tok/sec 83272.17
step  174 | loss: 6.101824| lr 5.9990e-04  |norm: 0.5034 | dt: 6109.09ms| tok/sec 85820.92
step  175 | loss: 6.147199| lr 5.9989e-04  |norm: 0.3201 | dt: 6059.83ms| tok/sec 86518.55
step  176 | loss: 6.108970| lr 5.9989e-04  |norm: 0.4140 | dt: 5954.33ms| tok/sec 88051.48
step  177 | loss: 6.145294| lr 5.9989e-04  |norm: 0.2957 | dt: 5857.76ms| tok/sec 89503.10
step  178 | loss: 6.070123| lr 5.9989e-04  |norm: 0.3158 | dt: 5853.46ms| tok/sec 89568.93
step  179 | loss: 6.064419| lr 5.9989e-04  |norm: 0.4236 | dt: 5875.92ms| tok/sec 89226.50
step  180 | loss: 6.068217| lr 5.9989e-04  |norm: 0.4994 | dt: 5881.99ms| tok/sec 89134.53
step  181 | loss: 6.093782| lr 5.9989e-04  |norm: 0.4805 | dt: 5900.15ms| tok/sec 88860.18
step  182 | loss: 6.095675| lr 5.9989e-04  |norm: 0.4698 | dt: 5885.94ms| tok/sec 89074.59
step  183 | loss: 6.083445| lr 5.9988e-04  |norm: 0.4689 | dt: 6078.67ms| tok/sec 86250.50
step  184 | loss: 6.107707| lr 5.9988e-04  |norm: 0.3720 | dt: 6166.42ms| tok/sec 85023.14
step  185 | loss: 6.169015| lr 5.9988e-04  |norm: 0.4109 | dt: 6228.31ms| tok/sec 84178.19
step  186 | loss: 6.195642| lr 5.9988e-04  |norm: 0.4678 | dt: 5972.16ms| tok/sec 87788.64
step  187 | loss: 6.241951| lr 5.9988e-04  |norm: 0.3409 | dt: 5840.92ms| tok/sec 89761.24
step  188 | loss: 6.204657| lr 5.9988e-04  |norm: 0.4228 | dt: 5956.14ms| tok/sec 88024.72
step  189 | loss: 6.173157| lr 5.9988e-04  |norm: 0.3558 | dt: 5854.95ms| tok/sec 89546.05
step  190 | loss: 6.208976| lr 5.9987e-04  |norm: 0.3472 | dt: 11670.67ms| tok/sec 44923.55
step  191 | loss: 6.167078| lr 5.9987e-04  |norm: 0.3690 | dt: 5950.24ms| tok/sec 88112.07
step  192 | loss: 6.179167| lr 5.9987e-04  |norm: 0.4109 | dt: 5918.64ms| tok/sec 88582.46
step  193 | loss: 6.188507| lr 5.9987e-04  |norm: 0.5561 | dt: 6030.08ms| tok/sec 86945.41
step  194 | loss: 6.114707| lr 5.9987e-04  |norm: 0.6059 | dt: 6114.97ms| tok/sec 85738.41
step  195 | loss: 6.130981| lr 5.9987e-04  |norm: 0.5228 | dt: 6001.06ms| tok/sec 87365.97
step  196 | loss: 6.111136| lr 5.9987e-04  |norm: 0.5179 | dt: 5906.29ms| tok/sec 88767.76
step  197 | loss: 6.158786| lr 5.9986e-04  |norm: 0.6926 | dt: 5921.21ms| tok/sec 88544.10
step  198 | loss: 6.139566| lr 5.9986e-04  |norm: 0.4690 | dt: 6218.97ms| tok/sec 84304.65
